id	af	s	gen	h	1000_rep0_dom.hs_segr.txt
198762	6	-0.0808139	9973	0.3	1000_rep0_dom.hs_segr.txt
198788	6	-0.0049564	9974	0.3	1000_rep0_dom.hs_segr.txt
198500	7	-0.0945231	9959	0.3	1000_rep0_dom.hs_segr.txt
199243	1	-0.0221054	9996	0.3	1000_rep0_dom.hs_segr.txt
197306	6	-0.0131644	9900	0.3	1000_rep0_dom.hs_segr.txt
197049	6	-0.0143491	9887	0.3	1000_rep0_dom.hs_segr.txt
197584	7	-0.00604153	9914	0.3	1000_rep0_dom.hs_segr.txt
197579	7	-0.000718745	9913	0.3	1000_rep0_dom.hs_segr.txt
199067	2	-0.027564	9988	0.3	1000_rep0_dom.hs_segr.txt
196548	6	-0.031341	9863	0.3	1000_rep0_dom.hs_segr.txt
198970	6	-0.0293884	9983	0.3	1000_rep0_dom.hs_segr.txt
198030	13	-0.0261006	9935	0.3	1000_rep0_dom.hs_segr.txt
189762	24	-0.00637079	9527	0.3	1000_rep0_dom.hs_segr.txt
197645	9	-0.0174972	9916	0.3	1000_rep0_dom.hs_segr.txt
192983	18	-0.0246607	9685	0.3	1000_rep0_dom.hs_segr.txt
198791	4	-0.00384526	9974	0.3	1000_rep0_dom.hs_segr.txt
198211	9	-0.013301	9945	0.3	1000_rep0_dom.hs_segr.txt
199052	1	-0.179614	9988	0.3	1000_rep0_dom.hs_segr.txt
199026	3	-0.00918886	9986	0.3	1000_rep0_dom.hs_segr.txt
199005	2	-0.000560056	9985	0.3	1000_rep0_dom.hs_segr.txt
194977	11	-0.00632072	9785	0.3	1000_rep0_dom.hs_segr.txt
198720	2	-0.0112669	9971	0.3	1000_rep0_dom.hs_segr.txt
198566	11	-0.0190655	9963	0.3	1000_rep0_dom.hs_segr.txt
199299	1	-0.0839583	10000	0.3	1000_rep0_dom.hs_segr.txt
199181	3	-0.0347342	9994	0.3	1000_rep0_dom.hs_segr.txt
199220	6	-0.0521567	9995	0.3	1000_rep0_dom.hs_segr.txt
196722	61	-0.00177026	9871	0.3	1000_rep0_dom.hs_segr.txt
199167	1	-0.0150788	9993	0.3	1000_rep0_dom.hs_segr.txt
198792	4	-0.00354451	9974	0.3	1000_rep0_dom.hs_segr.txt
189698	6	-0.00769762	9524	0.3	1000_rep0_dom.hs_segr.txt
197920	7	-0.063732	9929	0.3	1000_rep0_dom.hs_segr.txt
198251	4	-0.0251306	9947	0.3	1000_rep0_dom.hs_segr.txt
198743	3	-0.0895658	9972	0.3	1000_rep0_dom.hs_segr.txt
196468	21	-0.000288587	9860	0.3	1000_rep0_dom.hs_segr.txt
199292	1	-0.0775101	9999	0.3	1000_rep0_dom.hs_segr.txt
199130	5	-0.158849	9991	0.3	1000_rep0_dom.hs_segr.txt
198942	4	-0.0375026	9982	0.3	1000_rep0_dom.hs_segr.txt
197123	22	-0.00484103	9891	0.3	1000_rep0_dom.hs_segr.txt
199305	1	-0.0103093	10000	0.3	1000_rep0_dom.hs_segr.txt
199175	1	-0.0959374	9993	0.3	1000_rep0_dom.hs_segr.txt
