no	id	type	pos	s	na	pop	genorig	genfix	gen	h	1000_rep0_dom.hs_fixed.txt
0	1334	m2	8979688	-0.00169265	0	p1	68	193	68	0.3	1000_rep0_dom.hs_fixed.txt
1	1086	m2	6562716	-0.00260268	0	p1	55	292	55	0.3	1000_rep0_dom.hs_fixed.txt
2	2044	m2	8953271	-0.0132988	0	p1	102	360	102	0.3	1000_rep0_dom.hs_fixed.txt
3	6630	m2	3836757	-0.0166019	0	p1	327	455	327	0.3	1000_rep0_dom.hs_fixed.txt
4	2461	m2	4875139	-0.0183413	0	p1	123	485	123	0.3	1000_rep0_dom.hs_fixed.txt
5	3459	m2	446630	-0.0153409	0	p1	175	498	175	0.3	1000_rep0_dom.hs_fixed.txt
6	5704	m2	612392	-0.0040356	0	p1	284	499	284	0.3	1000_rep0_dom.hs_fixed.txt
7	3900	m2	3314955	-0.0226776	0	p1	195	502	195	0.3	1000_rep0_dom.hs_fixed.txt
8	6296	m2	3383584	-0.00519063	0	p1	312	502	312	0.3	1000_rep0_dom.hs_fixed.txt
9	3004	m2	9083894	-0.0167773	0	p1	152	511	152	0.3	1000_rep0_dom.hs_fixed.txt
10	2703	m2	7733931	-0.00587789	0	p1	136	592	136	0.3	1000_rep0_dom.hs_fixed.txt
11	7910	m2	7984089	-0.0373994	0	p1	388	592	388	0.3	1000_rep0_dom.hs_fixed.txt
12	10495	m2	7708627	-3.93022e-05	0	p1	520	657	520	0.3	1000_rep0_dom.hs_fixed.txt
13	8054	m2	5089192	-0.0195106	0	p1	396	699	396	0.3	1000_rep0_dom.hs_fixed.txt
14	10278	m2	6920661	-0.00193585	0	p1	508	706	508	0.3	1000_rep0_dom.hs_fixed.txt
15	9401	m2	6699343	-0.0208492	0	p1	464	740	464	0.3	1000_rep0_dom.hs_fixed.txt
16	11373	m2	1071689	-0.00787294	0	p1	566	832	566	0.3	1000_rep0_dom.hs_fixed.txt
17	13543	m2	7207994	-0.0109154	0	p1	672	832	672	0.3	1000_rep0_dom.hs_fixed.txt
18	11938	m2	5365704	-0.00745017	0	p1	595	851	595	0.3	1000_rep0_dom.hs_fixed.txt
19	14242	m2	6189978	-0.00655635	0	p1	706	983	706	0.3	1000_rep0_dom.hs_fixed.txt
20	18141	m2	8609863	-0.0128051	0	p1	903	1222	903	0.3	1000_rep0_dom.hs_fixed.txt
21	17248	m2	9017274	-0.00953299	0	p1	857	1261	857	0.3	1000_rep0_dom.hs_fixed.txt
22	16724	m2	9597828	-0.0309481	0	p1	830	1334	830	0.3	1000_rep0_dom.hs_fixed.txt
23	23173	m2	7824934	-0.00456935	0	p1	1154	1437	1154	0.3	1000_rep0_dom.hs_fixed.txt
24	22990	m2	8151697	-0.00668616	0	p1	1144	1444	1144	0.3	1000_rep0_dom.hs_fixed.txt
25	24601	m2	5039337	-0.0117158	0	p1	1226	1452	1226	0.3	1000_rep0_dom.hs_fixed.txt
26	25519	m2	6054055	-0.0246609	0	p1	1273	1537	1273	0.3	1000_rep0_dom.hs_fixed.txt
27	23246	m2	144630	-0.0144286	0	p1	1157	1633	1157	0.3	1000_rep0_dom.hs_fixed.txt
28	29164	m2	6174936	-0.000110819	0	p1	1452	1640	1452	0.3	1000_rep0_dom.hs_fixed.txt
29	29120	m2	7469602	-0.00840694	0	p1	1450	1665	1450	0.3	1000_rep0_dom.hs_fixed.txt
30	28254	m2	9361640	-0.00378776	0	p1	1407	1674	1407	0.3	1000_rep0_dom.hs_fixed.txt
31	29012	m2	6724385	-0.0138779	0	p1	1445	1709	1445	0.3	1000_rep0_dom.hs_fixed.txt
32	24399	m2	6791299	-0.00193068	0	p1	1217	1709	1217	0.3	1000_rep0_dom.hs_fixed.txt
33	24579	m2	9810207	-0.0231717	0	p1	1225	1737	1225	0.3	1000_rep0_dom.hs_fixed.txt
34	31084	m2	1230847	-0.0219504	0	p1	1550	1769	1550	0.3	1000_rep0_dom.hs_fixed.txt
35	31311	m2	6947636	-0.00807888	0	p1	1563	1868	1563	0.3	1000_rep0_dom.hs_fixed.txt
36	34956	m2	1246418	-0.0317234	0	p1	1743	1879	1743	0.3	1000_rep0_dom.hs_fixed.txt
37	35346	m2	3411208	-0.00920039	0	p1	1761	1883	1761	0.3	1000_rep0_dom.hs_fixed.txt
38	33045	m2	7012071	-0.012179	0	p1	1650	1983	1650	0.3	1000_rep0_dom.hs_fixed.txt
39	38543	m2	7088855	-0.0173016	0	p1	1921	2037	1921	0.3	1000_rep0_dom.hs_fixed.txt
40	38916	m2	1738068	-0.0252326	0	p1	1938	2043	1938	0.3	1000_rep0_dom.hs_fixed.txt
41	35685	m2	2478905	-0.00880213	0	p1	1778	2043	1778	0.3	1000_rep0_dom.hs_fixed.txt
42	36282	m2	2481422	-0.00154487	0	p1	1807	2043	1807	0.3	1000_rep0_dom.hs_fixed.txt
43	38070	m2	3823378	-0.05969	0	p1	1898	2143	1898	0.3	1000_rep0_dom.hs_fixed.txt
44	42623	m2	5917876	-0.0193396	0	p1	2122	2255	2122	0.3	1000_rep0_dom.hs_fixed.txt
45	42061	m2	6771242	-0.00265785	0	p1	2094	2255	2094	0.3	1000_rep0_dom.hs_fixed.txt
46	43917	m2	2936343	-0.029938	0	p1	2185	2309	2185	0.3	1000_rep0_dom.hs_fixed.txt
47	44122	m2	4561390	-0.000559925	0	p1	2196	2309	2196	0.3	1000_rep0_dom.hs_fixed.txt
48	45773	m2	4149333	-0.00287905	0	p1	2278	2412	2278	0.3	1000_rep0_dom.hs_fixed.txt
49	45743	m2	3350916	-0.0111883	0	p1	2277	2444	2277	0.3	1000_rep0_dom.hs_fixed.txt
50	27667	m2	8702401	-0.00196949	0	p1	1379	2446	1379	0.3	1000_rep0_dom.hs_fixed.txt
51	47284	m2	3340624	-0.00493886	0	p1	2354	2447	2354	0.3	1000_rep0_dom.hs_fixed.txt
52	46692	m2	7780341	-0.00185801	0	p1	2325	2465	2325	0.3	1000_rep0_dom.hs_fixed.txt
53	41019	m2	1369832	-0.00287952	0	p1	2042	2491	2042	0.3	1000_rep0_dom.hs_fixed.txt
54	47896	m2	474966	-0.0010851	0	p1	2386	2626	2386	0.3	1000_rep0_dom.hs_fixed.txt
55	49540	m2	3442731	-0.0101643	0	p1	2468	2674	2468	0.3	1000_rep0_dom.hs_fixed.txt
56	50524	m2	7722426	-0.00775818	0	p1	2517	2766	2517	0.3	1000_rep0_dom.hs_fixed.txt
57	51945	m2	6916398	-0.00270628	0	p1	2588	2827	2588	0.3	1000_rep0_dom.hs_fixed.txt
58	52110	m2	9917083	-0.000871248	0	p1	2596	2863	2596	0.3	1000_rep0_dom.hs_fixed.txt
59	49016	m2	8881991	-0.043024	0	p1	2442	2972	2442	0.3	1000_rep0_dom.hs_fixed.txt
60	48305	m2	9023598	-0.00935068	0	p1	2406	2972	2406	0.3	1000_rep0_dom.hs_fixed.txt
61	52540	m2	6188348	-0.00920292	0	p1	2618	2990	2618	0.3	1000_rep0_dom.hs_fixed.txt
62	56502	m2	7252736	-0.0150813	0	p1	2817	2990	2817	0.3	1000_rep0_dom.hs_fixed.txt
63	46742	m2	5331889	-0.0176622	0	p1	2327	3058	2327	0.3	1000_rep0_dom.hs_fixed.txt
64	52056	m2	2444708	-0.00538015	0	p1	2593	3086	2593	0.3	1000_rep0_dom.hs_fixed.txt
65	51213	m2	8735322	-0.00453023	0	p1	2548	3218	2548	0.3	1000_rep0_dom.hs_fixed.txt
66	61477	m2	3781942	-0.0481397	0	p1	3068	3254	3068	0.3	1000_rep0_dom.hs_fixed.txt
67	60640	m2	2992862	-0.0202326	0	p1	3023	3277	3023	0.3	1000_rep0_dom.hs_fixed.txt
68	59297	m2	1039350	-0.0374319	0	p1	2956	3285	2956	0.3	1000_rep0_dom.hs_fixed.txt
69	57200	m2	2542221	-0.00723567	0	p1	2854	3358	2854	0.3	1000_rep0_dom.hs_fixed.txt
70	54850	m2	9386836	-0.0174374	0	p1	2733	3409	2733	0.3	1000_rep0_dom.hs_fixed.txt
71	47030	m2	9388209	-0.00700202	0	p1	2341	3409	2341	0.3	1000_rep0_dom.hs_fixed.txt
72	59134	m2	9639582	-0.00259535	0	p1	2948	3418	2948	0.3	1000_rep0_dom.hs_fixed.txt
73	61060	m2	9692194	-0.00592672	0	p1	3046	3418	3046	0.3	1000_rep0_dom.hs_fixed.txt
74	59726	m2	9135261	-0.00345915	0	p1	2978	3440	2978	0.3	1000_rep0_dom.hs_fixed.txt
75	59200	m2	6176850	-0.00210526	0	p1	2952	3489	2952	0.3	1000_rep0_dom.hs_fixed.txt
76	57199	m2	6651290	-0.00337316	0	p1	2854	3489	2854	0.3	1000_rep0_dom.hs_fixed.txt
77	66079	m2	7824374	-0.00218965	0	p1	3294	3528	3294	0.3	1000_rep0_dom.hs_fixed.txt
78	56285	m2	1761796	-0.00471787	0	p1	2806	3568	2806	0.3	1000_rep0_dom.hs_fixed.txt
79	66705	m2	4335436	-0.027016	0	p1	3325	3633	3325	0.3	1000_rep0_dom.hs_fixed.txt
80	71186	m2	8151681	-0.00381136	0	p1	3552	3696	3552	0.3	1000_rep0_dom.hs_fixed.txt
81	65141	m2	5300646	-0.0138336	0	p1	3247	3715	3247	0.3	1000_rep0_dom.hs_fixed.txt
82	62098	m2	5410287	-0.00120535	0	p1	3096	3715	3096	0.3	1000_rep0_dom.hs_fixed.txt
83	71395	m2	4880901	-0.00359773	0	p1	3562	3717	3562	0.3	1000_rep0_dom.hs_fixed.txt
84	67067	m2	8980553	-0.0123874	0	p1	3344	3722	3344	0.3	1000_rep0_dom.hs_fixed.txt
85	71520	m2	2782360	-0.00693645	0	p1	3569	3754	3569	0.3	1000_rep0_dom.hs_fixed.txt
86	61768	m2	6953458	-0.000219947	0	p1	3081	3975	3081	0.3	1000_rep0_dom.hs_fixed.txt
87	74153	m2	5986278	-0.0291295	0	p1	3707	3982	3707	0.3	1000_rep0_dom.hs_fixed.txt
88	74357	m2	6098337	-0.02651	0	p1	3718	3982	3718	0.3	1000_rep0_dom.hs_fixed.txt
89	59296	m2	7049604	-0.0481206	0	p1	2956	3990	2956	0.3	1000_rep0_dom.hs_fixed.txt
90	74740	m2	5210254	-0.00668683	0	p1	3737	4004	3737	0.3	1000_rep0_dom.hs_fixed.txt
91	77296	m2	6853364	-0.0236706	0	p1	3864	4009	3864	0.3	1000_rep0_dom.hs_fixed.txt
92	75044	m2	996666	-0.00123564	0	p1	3752	4014	3752	0.3	1000_rep0_dom.hs_fixed.txt
93	72785	m2	1605536	-0.0223819	0	p1	3635	4014	3635	0.3	1000_rep0_dom.hs_fixed.txt
94	73604	m2	2010883	-0.0239099	0	p1	3676	4030	3676	0.3	1000_rep0_dom.hs_fixed.txt
95	74532	m2	8094104	-0.004767	0	p1	3727	4055	3727	0.3	1000_rep0_dom.hs_fixed.txt
96	79045	m2	5775462	-0.0210313	0	p1	3951	4059	3951	0.3	1000_rep0_dom.hs_fixed.txt
97	75577	m2	9726796	-0.018452	0	p1	3777	4072	3777	0.3	1000_rep0_dom.hs_fixed.txt
98	78027	m2	8622547	-0.00365296	0	p1	3900	4080	3900	0.3	1000_rep0_dom.hs_fixed.txt
99	79796	m2	6586215	-0.0032397	0	p1	3988	4153	3988	0.3	1000_rep0_dom.hs_fixed.txt
100	81923	m2	5708909	-0.00487754	0	p1	4092	4354	4092	0.3	1000_rep0_dom.hs_fixed.txt
101	80428	m2	3890222	-0.0236117	0	p1	4019	4371	4019	0.3	1000_rep0_dom.hs_fixed.txt
102	83566	m2	799854	-0.0507635	0	p1	4171	4430	4171	0.3	1000_rep0_dom.hs_fixed.txt
103	83706	m2	1249290	-0.00934742	0	p1	4179	4430	4179	0.3	1000_rep0_dom.hs_fixed.txt
104	81112	m2	1674658	-0.00537851	0	p1	4051	4430	4051	0.3	1000_rep0_dom.hs_fixed.txt
105	86979	m2	2105729	-0.00624533	0	p1	4344	4463	4344	0.3	1000_rep0_dom.hs_fixed.txt
106	86613	m2	2337580	-0.00312466	0	p1	4326	4500	4326	0.3	1000_rep0_dom.hs_fixed.txt
107	84551	m2	1335113	-0.00911967	0	p1	4220	4518	4220	0.3	1000_rep0_dom.hs_fixed.txt
108	87008	m2	3837822	-0.00577194	0	p1	4345	4546	4345	0.3	1000_rep0_dom.hs_fixed.txt
109	86661	m2	2817110	-0.0232916	0	p1	4328	4569	4328	0.3	1000_rep0_dom.hs_fixed.txt
110	84917	m2	4848262	-0.00749447	0	p1	4239	4596	4239	0.3	1000_rep0_dom.hs_fixed.txt
111	88533	m2	5498872	-0.00667561	0	p1	4423	4596	4423	0.3	1000_rep0_dom.hs_fixed.txt
112	90461	m2	1799424	-0.000451463	0	p1	4517	4742	4517	0.3	1000_rep0_dom.hs_fixed.txt
113	87499	m2	8404587	-0.00657707	0	p1	4370	4750	4370	0.3	1000_rep0_dom.hs_fixed.txt
114	93113	m2	1030108	-0.0218503	0	p1	4649	4839	4649	0.3	1000_rep0_dom.hs_fixed.txt
115	89601	m2	4059375	-0.00874808	0	p1	4476	4967	4476	0.3	1000_rep0_dom.hs_fixed.txt
116	95984	m2	4588052	-0.00334407	0	p1	4790	5002	4790	0.3	1000_rep0_dom.hs_fixed.txt
117	94606	m2	8594637	-0.00418393	0	p1	4722	5045	4722	0.3	1000_rep0_dom.hs_fixed.txt
118	98877	m2	8920695	-0.0179342	0	p1	4935	5045	4935	0.3	1000_rep0_dom.hs_fixed.txt
